,Round,Client,TestAcc
0,1,0,92.04
1,1,1,91.45
2,1,2,91.71
3,1,3,91.37
4,1,4,91.81
5,1,5,91.33
6,1,6,92.32
7,1,7,92.26
8,1,8,91.46
9,1,9,92.16
10,2,0,94.14
11,2,1,93.92
12,2,2,93.9
13,2,3,94.16
14,2,4,94.08
15,2,5,94.16
16,2,6,94.12
17,2,7,94.07
18,2,8,94.05
19,2,9,93.94
20,3,0,95.29
21,3,1,95.43
22,3,2,95.03
23,3,3,95.21
24,3,4,95.03
25,3,5,95.4
26,3,6,95.31
27,3,7,95.31
28,3,8,94.57
29,3,9,94.91
30,4,0,95.98
31,4,1,96.12
32,4,2,95.76
33,4,3,95.69
34,4,4,95.71
35,4,5,95.93
36,4,6,95.92
37,4,7,96.01
38,4,8,95.77
39,4,9,95.53
40,5,0,96.25
41,5,1,96.37
42,5,2,96.28
43,5,3,95.92
44,5,4,96.33
45,5,5,96.32
46,5,6,96.15
47,5,7,96.14
48,5,8,96.26
49,5,9,96.17
50,6,0,96.68
51,6,1,96.36
52,6,2,96.7
53,6,3,96.61
54,6,4,96.19
55,6,5,96.84
56,6,6,96.3
57,6,7,96.73
58,6,8,96.73
59,6,9,96.19
60,7,0,96.43
61,7,1,96.82
62,7,2,96.77
63,7,3,96.59
64,7,4,96.78
65,7,5,96.83
66,7,6,96.61
67,7,7,96.77
68,7,8,96.83
69,7,9,96.9
70,8,0,96.78
71,8,1,96.72
72,8,2,96.77
73,8,3,97.04
74,8,4,96.71
75,8,5,96.9
76,8,6,96.72
77,8,7,96.6
78,8,8,96.95
79,8,9,96.8
80,9,0,97.22
81,9,1,97.12
82,9,2,97.04
83,9,3,97.15
84,9,4,96.78
85,9,5,97.12
86,9,6,97.24
87,9,7,97.01
88,9,8,96.74
89,9,9,96.87
90,10,0,97.18
91,10,1,97.24
92,10,2,97.3
93,10,3,97.23
94,10,4,97.26
95,10,5,97.17
96,10,6,97.03
97,10,7,96.98
98,10,8,97.11
99,10,9,97.08
100,11,0,97.31
101,11,1,97.18
102,11,2,97.35
103,11,3,97.28
104,11,4,97.22
105,11,5,97.26
106,11,6,97.33
107,11,7,97.28
108,11,8,97.15
109,11,9,97.24
110,12,0,97.19
111,12,1,97.18
112,12,2,97.5
113,12,3,97.03
114,12,4,97.04
115,12,5,97.19
116,12,6,97.17
117,12,7,97.18
118,12,8,97.27
119,12,9,97.2
120,13,0,97.52
121,13,1,97.25
122,13,2,97.39
123,13,3,97.41
124,13,4,97.28
125,13,5,97.42
126,13,6,97.33
127,13,7,97.45
128,13,8,97.45
129,13,9,97.28
130,14,0,97.39
131,14,1,97.46
132,14,2,97.53
133,14,3,97.43
134,14,4,97.46
135,14,5,97.36
136,14,6,97.46
137,14,7,97.36
138,14,8,97.44
139,14,9,96.86
140,15,0,97.47
141,15,1,97.49
142,15,2,97.55
143,15,3,97.4
144,15,4,97.44
145,15,5,97.55
146,15,6,97.58
147,15,7,97.56
148,15,8,97.57
149,15,9,97.44
150,16,0,97.65
151,16,1,97.51
152,16,2,97.6
153,16,3,97.58
154,16,4,97.6
155,16,5,97.45
156,16,6,97.44
157,16,7,97.57
158,16,8,97.49
159,16,9,97.42
160,17,0,97.64
161,17,1,97.61
162,17,2,97.62
163,17,3,97.56
164,17,4,97.54
165,17,5,97.5
166,17,6,97.42
167,17,7,97.34
168,17,8,97.54
169,17,9,97.36
170,18,0,97.72
171,18,1,97.68
172,18,2,97.57
173,18,3,97.53
174,18,4,97.64
175,18,5,97.53
176,18,6,97.64
177,18,7,97.62
178,18,8,97.54
179,18,9,97.64
180,19,0,97.67
181,19,1,97.66
182,19,2,97.64
183,19,3,97.64
184,19,4,97.28
185,19,5,97.66
186,19,6,97.66
187,19,7,97.64
188,19,8,97.71
189,19,9,97.57
190,20,0,97.68
191,20,1,97.66
192,20,2,97.72
193,20,3,97.73
194,20,4,97.67
195,20,5,97.77
196,20,6,97.69
197,20,7,97.5
198,20,8,97.66
199,20,9,97.64
200,21,0,97.64
201,21,1,97.72
202,21,2,97.73
203,21,3,97.68
204,21,4,97.51
205,21,5,97.48
206,21,6,97.73
207,21,7,97.76
208,21,8,97.55
209,21,9,97.75
210,22,0,97.63
211,22,1,97.53
212,22,2,97.72
213,22,3,97.7
214,22,4,97.69
215,22,5,97.63
216,22,6,97.82
217,22,7,97.71
218,22,8,97.55
219,22,9,97.66
220,23,0,97.76
221,23,1,97.73
222,23,2,97.54
223,23,3,97.63
224,23,4,97.69
225,23,5,97.75
226,23,6,97.75
227,23,7,97.72
228,23,8,97.69
229,23,9,97.69
230,24,0,97.74
231,24,1,97.77
232,24,2,97.73
233,24,3,97.72
234,24,4,97.69
235,24,5,97.69
236,24,6,97.71
237,24,7,97.73
238,24,8,97.61
239,24,9,97.72
240,25,0,97.8
241,25,1,97.73
242,25,2,97.72
243,25,3,97.76
244,25,4,97.79
245,25,5,97.79
246,25,6,97.75
247,25,7,97.81
248,25,8,97.71
249,25,9,97.75
250,26,0,97.69
251,26,1,97.66
252,26,2,97.79
253,26,3,97.78
254,26,4,97.63
255,26,5,97.82
256,26,6,97.79
257,26,7,97.78
258,26,8,97.74
259,26,9,97.83
260,27,0,97.73
261,27,1,97.76
262,27,2,97.72
263,27,3,97.75
264,27,4,97.77
265,27,5,97.72
266,27,6,97.82
267,27,7,97.75
268,27,8,97.73
269,27,9,97.75
270,28,0,97.81
271,28,1,97.81
272,28,2,97.75
273,28,3,97.72
274,28,4,97.77
275,28,5,97.78
276,28,6,97.72
277,28,7,97.79
278,28,8,97.66
279,28,9,97.78
280,29,0,97.72
281,29,1,97.79
282,29,2,97.76
283,29,3,97.72
284,29,4,97.75
285,29,5,97.75
286,29,6,97.34
287,29,7,97.8
288,29,8,97.59
289,29,9,97.77
290,30,0,97.79
291,30,1,97.78
292,30,2,97.85
293,30,3,97.67
294,30,4,97.77
295,30,5,97.7
296,30,6,97.69
297,30,7,97.81
298,30,8,97.7
299,30,9,97.87
300,31,0,97.73
301,31,1,97.7
302,31,2,97.74
303,31,3,97.76
304,31,4,97.75
305,31,5,97.74
306,31,6,97.85
307,31,7,97.82
308,31,8,97.66
309,31,9,97.65
