,Round,Client,TestAcc
0,1,0,10.91
1,1,1,11.17
2,1,2,10.0
3,1,3,10.65
4,1,4,10.0
5,1,5,9.53
6,1,6,9.31
7,1,7,10.23
8,1,8,10.4
9,1,9,10.01
10,2,0,9.95
11,2,1,10.24
12,2,2,10.23
13,2,3,10.0
14,2,4,10.02
15,2,5,9.87
16,2,6,9.23
17,2,7,9.08
18,2,8,10.0
19,2,9,10.13
20,3,0,9.35
21,3,1,10.1
22,3,2,9.99
23,3,3,8.67
24,3,4,9.9
25,3,5,11.04
26,3,6,10.52
27,3,7,9.04
28,3,8,10.33
29,3,9,10.01
30,4,0,9.93
31,4,1,10.02
32,4,2,9.9
33,4,3,11.53
34,4,4,9.72
35,4,5,9.32
36,4,6,10.23
37,4,7,10.23
38,4,8,11.44
39,4,9,13.59
40,5,0,9.57
41,5,1,11.18
42,5,2,10.17
43,5,3,10.9
44,5,4,9.81
45,5,5,10.48
46,5,6,10.53
47,5,7,10.87
48,5,8,12.19
49,5,9,10.12
50,6,0,12.68
51,6,1,9.33
52,6,2,10.0
53,6,3,10.69
54,6,4,10.53
55,6,5,9.97
56,6,6,10.17
57,6,7,10.17
58,6,8,10.19
59,6,9,9.83
60,7,0,10.02
61,7,1,11.82
62,7,2,10.18
63,7,3,10.02
64,7,4,10.12
65,7,5,10.82
66,7,6,11.33
67,7,7,10.8
68,7,8,10.08
69,7,9,9.98
70,8,0,9.98
71,8,1,10.78
72,8,2,10.0
73,8,3,11.28
74,8,4,9.44
75,8,5,12.84
76,8,6,13.18
77,8,7,13.28
78,8,8,11.78
79,8,9,10.07
80,9,0,9.89
81,9,1,13.78
82,9,2,12.3
83,9,3,10.63
84,9,4,11.45
85,9,5,11.27
86,9,6,15.09
87,9,7,15.49
88,9,8,10.21
89,9,9,11.57
90,10,0,10.97
91,10,1,12.2
92,10,2,10.12
93,10,3,10.57
94,10,4,9.64
95,10,5,14.09
96,10,6,14.58
97,10,7,13.89
98,10,8,13.02
99,10,9,8.9
100,11,0,12.63
101,11,1,16.68
102,11,2,16.14
103,11,3,17.7
104,11,4,17.19
105,11,5,10.93
106,11,6,13.86
107,11,7,12.63
108,11,8,10.02
109,11,9,17.34
110,12,0,20.43
111,12,1,18.31
112,12,2,11.01
113,12,3,19.07
114,12,4,16.74
115,12,5,20.53
116,12,6,16.92
117,12,7,18.13
118,12,8,14.93
119,12,9,13.86
120,13,0,22.42
121,13,1,16.88
122,13,2,17.79
123,13,3,19.44
124,13,4,22.21
125,13,5,15.91
126,13,6,18.24
127,13,7,13.72
128,13,8,20.26
129,13,9,20.43
130,14,0,21.99
131,14,1,19.74
132,14,2,17.67
133,14,3,19.16
134,14,4,18.12
135,14,5,16.44
136,14,6,21.08
137,14,7,16.24
138,14,8,18.46
139,14,9,13.69
140,15,0,22.07
141,15,1,19.39
142,15,2,17.97
143,15,3,18.53
144,15,4,15.26
145,15,5,18.93
146,15,6,18.49
147,15,7,19.12
148,15,8,12.47
149,15,9,16.89
150,16,0,23.53
151,16,1,17.36
152,16,2,23.3
153,16,3,23.53
154,16,4,24.76
155,16,5,18.45
156,16,6,23.86
157,16,7,22.31
158,16,8,22.49
159,16,9,23.07
160,17,0,22.37
161,17,1,22.69
162,17,2,21.36
163,17,3,23.82
164,17,4,22.77
165,17,5,20.53
166,17,6,23.92
167,17,7,18.93
168,17,8,20.66
169,17,9,15.37
170,18,0,20.87
171,18,1,24.55
172,18,2,14.31
173,18,3,21.55
174,18,4,19.14
175,18,5,18.48
176,18,6,22.01
177,18,7,20.48
178,18,8,21.39
179,18,9,22.69
180,19,0,22.94
181,19,1,22.91
182,19,2,10.91
183,19,3,17.95
184,19,4,18.34
185,19,5,20.85
186,19,6,17.06
187,19,7,21.07
188,19,8,21.61
189,19,9,20.77
190,20,0,20.01
191,20,1,21.06
192,20,2,19.3
193,20,3,18.52
194,20,4,22.28
195,20,5,26.26
196,20,6,18.45
197,20,7,18.84
198,20,8,15.83
199,20,9,13.89
200,21,0,23.63
201,21,1,22.91
202,21,2,18.87
203,21,3,18.91
204,21,4,20.19
205,21,5,23.91
206,21,6,21.66
207,21,7,19.64
208,21,8,23.14
209,21,9,23.35
210,22,0,23.64
211,22,1,21.13
212,22,2,23.69
213,22,3,18.92
214,22,4,23.95
215,22,5,17.31
216,22,6,18.33
217,22,7,22.42
218,22,8,23.09
219,22,9,18.16
220,23,0,21.18
221,23,1,23.42
222,23,2,20.21
223,23,3,24.11
224,23,4,27.28
225,23,5,15.47
226,23,6,18.42
227,23,7,17.56
228,23,8,20.44
229,23,9,28.59
230,24,0,21.08
231,24,1,16.55
232,24,2,27.47
233,24,3,25.0
234,24,4,22.58
235,24,5,22.05
236,24,6,29.11
237,24,7,26.07
238,24,8,23.34
239,24,9,23.56
240,25,0,21.17
241,25,1,26.78
242,25,2,25.32
243,25,3,19.89
244,25,4,20.97
245,25,5,25.35
246,25,6,22.43
247,25,7,26.69
248,25,8,18.26
249,25,9,26.45
250,26,0,26.74
251,26,1,20.43
252,26,2,27.97
253,26,3,28.05
254,26,4,23.31
255,26,5,18.65
256,26,6,20.48
257,26,7,29.43
258,26,8,25.24
259,26,9,26.21
260,27,0,27.9
261,27,1,21.02
262,27,2,27.92
263,27,3,17.1
264,27,4,21.25
265,27,5,26.22
266,27,6,21.61
267,27,7,25.38
268,27,8,18.7
269,27,9,24.07
270,28,0,26.65
271,28,1,26.3
272,28,2,23.81
273,28,3,27.78
274,28,4,24.89
275,28,5,25.99
276,28,6,25.41
277,28,7,31.15
278,28,8,25.83
279,28,9,29.35
280,29,0,22.12
281,29,1,21.84
282,29,2,30.59
283,29,3,20.26
284,29,4,30.73
285,29,5,24.97
286,29,6,27.8
287,29,7,22.95
288,29,8,20.5
289,29,9,24.13
290,30,0,25.34
291,30,1,19.19
292,30,2,25.98
293,30,3,27.13
294,30,4,21.53
295,30,5,24.77
296,30,6,21.75
297,30,7,22.87
298,30,8,23.57
299,30,9,24.65
300,31,0,27.97
301,31,1,25.88
302,31,2,19.54
303,31,3,21.43
304,31,4,25.65
305,31,5,20.51
306,31,6,22.34
307,31,7,25.88
308,31,8,18.52
309,31,9,29.51
310,32,0,31.92
311,32,1,19.68
312,32,2,28.82
313,32,3,26.01
314,32,4,21.12
315,32,5,22.06
316,32,6,26.48
317,32,7,25.95
318,32,8,19.97
319,32,9,27.23
320,33,0,30.87
321,33,1,22.39
322,33,2,25.36
323,33,3,27.64
324,33,4,25.57
325,33,5,21.85
326,33,6,28.08
327,33,7,27.01
328,33,8,24.37
329,33,9,26.81
330,34,0,26.45
331,34,1,25.28
332,34,2,26.14
333,34,3,28.01
334,34,4,28.01
335,34,5,27.91
336,34,6,22.62
337,34,7,25.26
338,34,8,22.77
339,34,9,22.32
340,35,0,24.98
341,35,1,24.22
342,35,2,27.31
343,35,3,24.76
344,35,4,27.2
345,35,5,26.22
346,35,6,23.71
347,35,7,23.25
348,35,8,30.25
349,35,9,26.4
350,36,0,28.26
351,36,1,22.57
352,36,2,27.76
