,Round,Client,TestAcc
0,1,0,10.93
1,1,1,10.09
2,1,2,10.31
3,1,3,12.8
4,1,4,10.55
5,1,5,11.7
6,1,6,10.08
7,1,7,9.95
8,1,8,10.0
9,1,9,10.01
10,6,0,11.53
11,6,1,12.09
12,6,2,10.08
13,6,3,12.17
14,6,4,12.21
15,6,5,11.39
16,6,6,10.24
17,6,7,12.67
18,6,8,14.27
19,6,9,10.79
20,11,0,13.39
21,11,1,10.52
22,11,2,11.42
23,11,3,12.97
24,11,4,12.56
25,11,5,12.44
26,11,6,12.11
27,11,7,8.4
28,11,8,11.97
29,11,9,11.9
30,16,0,13.17
31,16,1,9.75
32,16,2,14.17
33,16,3,10.46
34,16,4,12.85
35,16,5,10.84
36,16,6,10.88
37,16,7,13.16
38,16,8,11.8
39,16,9,12.4
40,21,0,13.48
41,21,1,14.53
42,21,2,13.49
43,21,3,13.39
44,21,4,12.98
45,21,5,15.1
46,21,6,15.02
47,21,7,15.13
48,21,8,15.97
49,21,9,13.21
50,26,0,15.15
51,26,1,12.82
52,26,2,15.36
53,26,3,14.02
54,26,4,13.88
55,26,5,13.91
56,26,6,15.25
57,26,7,14.53
58,26,8,11.97
59,26,9,12.02
60,31,0,12.86
61,31,1,12.01
62,31,2,12.57
63,31,3,13.02
64,31,4,15.16
65,31,5,12.25
66,31,6,12.76
67,31,7,13.79
68,31,8,12.05
69,31,9,13.37
70,36,0,13.75
71,36,1,13.78
72,36,2,17.06
73,36,3,14.94
74,36,4,13.14
75,36,5,15.56
76,36,6,14.54
77,36,7,16.28
78,36,8,16.04
79,36,9,13.66
80,41,0,17.56
81,41,1,19.06
82,41,2,15.62
83,41,3,14.98
84,41,4,17.72
85,41,5,13.21
86,41,6,15.02
87,41,7,15.29
88,41,8,14.91
89,41,9,18.22
90,46,0,21.32
91,46,1,16.32
92,46,2,16.55
93,46,3,18.24
94,46,4,18.48
95,46,5,22.13
96,46,6,18.55
97,46,7,19.9
98,46,8,20.45
99,46,9,20.15
100,51,0,22.36
101,51,1,20.5
102,51,2,18.51
103,51,3,22.21
104,51,4,21.15
105,51,5,20.55
106,51,6,20.26
107,51,7,23.24
108,51,8,21.63
109,51,9,22.14
110,56,0,23.7
111,56,1,26.71
112,56,2,24.21
113,56,3,23.76
114,56,4,21.89
115,56,5,23.26
116,56,6,27.16
117,56,7,22.49
118,56,8,25.77
119,56,9,25.78
120,61,0,28.43
121,61,1,31.35
122,61,2,30.05
123,61,3,31.87
124,61,4,29.78
125,61,5,32.8
126,61,6,31.9
127,61,7,32.25
128,61,8,32.32
129,61,9,28.77
130,66,0,35.09
131,66,1,34.2
132,66,2,33.39
133,66,3,33.26
134,66,4,34.41
135,66,5,29.7
136,66,6,34.41
137,66,7,29.9
138,66,8,35.25
139,66,9,33.86
140,71,0,36.57
141,71,1,35.55
142,71,2,36.23
143,71,3,35.89
144,71,4,36.79
145,71,5,35.9
146,71,6,34.13
147,71,7,37.21
148,71,8,35.48
149,71,9,36.99
150,76,0,37.99
151,76,1,37.11
152,76,2,38.19
153,76,3,38.42
154,76,4,37.8
155,76,5,38.02
156,76,6,37.67
157,76,7,38.23
158,76,8,39.24
159,76,9,38.26
160,81,0,39.14
161,81,1,37.66
162,81,2,38.32
163,81,3,37.4
164,81,4,37.64
165,81,5,39.47
166,81,6,38.64
167,81,7,37.03
168,81,8,34.23
169,81,9,36.01
170,86,0,38.75
171,86,1,40.41
172,86,2,38.37
173,86,3,38.21
174,86,4,39.8
175,86,5,36.11
176,86,6,39.25
177,86,7,37.91
178,86,8,39.53
179,86,9,39.06
180,91,0,38.23
181,91,1,38.34
182,91,2,39.55
183,91,3,38.19
184,91,4,36.04
185,91,5,36.08
186,91,6,37.69
187,91,7,38.92
188,91,8,39.39
189,91,9,38.3
190,96,0,39.92
191,96,1,39.33
192,96,2,38.72
193,96,3,37.98
194,96,4,40.05
195,96,5,38.41
196,96,6,39.04
197,96,7,38.8
198,96,8,39.4
199,96,9,40.35
