,Round,Client,TestAcc
0,10,0,11.48
1,10,1,11.63
2,10,2,11.24
3,10,3,11.65
4,10,4,11.33
5,10,5,11.19
6,10,6,12.21
7,10,7,10.76
8,10,8,13.18
9,10,9,12.55
10,20,0,12.98
11,20,1,12.65
12,20,2,15.99
13,20,3,12.67
14,20,4,11.33
15,20,5,11.24
16,20,6,12.01
17,20,7,13.25
18,20,8,10.39
19,20,9,12.33
20,30,0,18.17
21,30,1,18.6
22,30,2,16.47
23,30,3,18.43
24,30,4,16.17
25,30,5,17.21
26,30,6,15.84
27,30,7,17.25
28,30,8,17.61
29,30,9,18.94
30,40,0,14.63
31,40,1,19.4
32,40,2,18.66
33,40,3,18.6
34,40,4,15.38
35,40,5,18.13
36,40,6,14.95
37,40,7,19.76
38,40,8,18.64
39,40,9,14.21
40,50,0,21.12
41,50,1,20.57
42,50,2,10.18
43,50,3,17.72
44,50,4,21.61
45,50,5,16.31
46,50,6,21.5
47,50,7,17.75
48,50,8,20.93
49,50,9,16.64
50,60,0,19.07
51,60,1,23.24
52,60,2,19.41
53,60,3,19.97
54,60,4,17.52
55,60,5,17.67
56,60,6,20.5
57,60,7,22.69
58,60,8,21.3
59,60,9,17.16
60,70,0,21.98
61,70,1,22.78
62,70,2,18.22
63,70,3,20.16
64,70,4,23.18
65,70,5,22.37
66,70,6,19.91
67,70,7,19.7
68,70,8,19.7
69,70,9,20.85
70,80,0,24.01
71,80,1,21.69
72,80,2,21.36
73,80,3,23.54
74,80,4,20.69
75,80,5,16.8
76,80,6,25.69
77,80,7,22.58
78,80,8,19.42
79,80,9,22.26
80,90,0,23.11
81,90,1,19.33
82,90,2,24.04
83,90,3,24.15
84,90,4,22.48
85,90,5,22.25
86,90,6,21.18
87,90,7,24.84
88,90,8,24.45
89,90,9,22.16
90,100,0,22.83
91,100,1,27.64
92,100,2,26.29
93,100,3,24.16
94,100,4,23.17
95,100,5,22.88
96,100,6,25.45
97,100,7,22.95
98,100,8,23.88
99,100,9,21.42
100,110,0,24.55
101,110,1,24.47
102,110,2,25.79
103,110,3,20.07
104,110,4,15.62
105,110,5,23.23
106,110,6,23.3
107,110,7,24.19
108,110,8,22.62
109,110,9,17.56
110,120,0,27.95
111,120,1,25.77
112,120,2,20.51
113,120,3,21.35
114,120,4,26.3
115,120,5,25.67
116,120,6,25.47
117,120,7,26.05
118,120,8,23.43
119,120,9,25.01
120,130,0,26.73
121,130,1,26.53
122,130,2,24.28
123,130,3,22.54
124,130,4,28.83
125,130,5,21.25
126,130,6,25.46
127,130,7,27.78
128,130,8,26.76
129,130,9,21.16
130,140,0,27.46
131,140,1,25.15
132,140,2,22.96
133,140,3,30.41
134,140,4,27.52
135,140,5,19.95
136,140,6,16.53
137,140,7,28.54
138,140,8,25.98
