,Round,Client,TestAcc
0,10,0,10.02
1,10,1,10.0
2,10,2,10.01
3,10,3,10.01
4,10,4,10.0
5,10,5,10.0
6,10,6,10.01
7,10,7,10.0
8,10,8,10.0
9,10,9,10.0
10,20,0,10.0
11,20,1,10.0
12,20,2,10.0
13,20,3,10.0
14,20,4,10.0
15,20,5,10.0
16,20,6,10.0
17,20,7,10.0
18,20,8,10.0
19,20,9,10.0
20,30,0,10.0
21,30,1,10.0
22,30,2,10.01
23,30,3,10.0
24,30,4,9.99
25,30,5,10.0
26,30,6,10.0
27,30,7,10.0
28,30,8,9.98
29,30,9,10.0
30,40,0,10.0
31,40,1,9.99
32,40,2,10.0
33,40,3,10.0
34,40,4,10.0
35,40,5,10.0
36,40,6,9.99
37,40,7,9.99
38,40,8,9.99
39,40,9,10.0
40,50,0,10.0
41,50,1,10.0
42,50,2,10.0
43,50,3,10.0
44,50,4,10.0
45,50,5,10.0
46,50,6,9.98
47,50,7,9.99
48,50,8,9.99
49,50,9,10.0
50,60,0,10.0
51,60,1,10.0
52,60,2,9.99
53,60,3,10.0
54,60,4,9.98
55,60,5,10.0
56,60,6,9.99
57,60,7,10.0
58,60,8,10.0
59,60,9,10.01
60,70,0,10.0
61,70,1,10.0
62,70,2,10.0
63,70,3,10.0
64,70,4,10.03
65,70,5,10.0
66,70,6,10.0
67,70,7,10.0
68,70,8,10.0
69,70,9,10.0
70,80,0,10.0
71,80,1,10.0
72,80,2,10.0
73,80,3,10.01
74,80,4,10.0
75,80,5,10.0
76,80,6,10.01
77,80,7,9.99
78,80,8,10.0
79,80,9,10.0
80,90,0,10.0
81,90,1,10.0
82,90,2,10.0
83,90,3,10.0
84,90,4,10.0
85,90,5,10.0
86,90,6,10.0
87,90,7,10.0
88,90,8,10.0
89,90,9,10.0
90,100,0,10.0
91,100,1,10.0
92,100,2,10.01
93,100,3,10.0
94,100,4,10.0
95,100,5,10.0
96,100,6,10.0
97,100,7,10.0
98,100,8,9.99
99,100,9,10.0
100,110,0,10.0
101,110,1,10.0
102,110,2,10.0
103,110,3,10.0
104,110,4,10.0
105,110,5,10.01
106,110,6,10.0
107,110,7,10.0
108,110,8,10.0
109,110,9,10.0
110,120,0,10.0
111,120,1,10.0
112,120,2,9.99
113,120,3,10.0
114,120,4,10.0
115,120,5,10.0
116,120,6,10.0
117,120,7,10.0
118,120,8,10.0
119,120,9,9.98
120,130,0,10.0
121,130,1,10.0
122,130,2,10.0
123,130,3,9.99
124,130,4,10.0
125,130,5,10.0
126,130,6,10.0
127,130,7,10.0
128,130,8,10.0
129,130,9,10.0
130,140,0,10.0
131,140,1,10.0
132,140,2,10.0
133,140,3,10.0
134,140,4,10.0
135,140,5,10.0
136,140,6,10.0
137,140,7,10.0
138,140,8,10.0
139,140,9,10.0
140,150,0,10.0
141,150,1,9.99
142,150,2,10.0
143,150,3,10.0
144,150,4,9.99
145,150,5,10.0
146,150,6,10.0
147,150,7,9.98
148,150,8,10.0
149,150,9,10.0
150,160,0,10.0
151,160,1,10.0
152,160,2,10.0
153,160,3,10.0
154,160,4,10.0
155,160,5,10.0
156,160,6,10.0
157,160,7,10.0
158,160,8,10.0
159,160,9,9.99
160,170,0,10.0
161,170,1,9.98
162,170,2,10.0
163,170,3,10.0
164,170,4,10.0
165,170,5,9.99
166,170,6,10.0
167,170,7,10.0
168,170,8,10.0
169,170,9,10.0
170,180,0,10.0
171,180,1,10.0
172,180,2,10.0
173,180,3,10.0
174,180,4,9.98
175,180,5,10.0
176,180,6,10.0
177,180,7,10.0
178,180,8,10.0
179,180,9,10.0
180,190,0,10.0
181,190,1,10.0
182,190,2,10.0
183,190,3,10.0
184,190,4,10.0
185,190,5,10.0
186,190,6,10.0
187,190,7,10.0
188,190,8,10.0
189,190,9,10.0
190,200,0,10.0
191,200,1,9.98
192,200,2,10.0
193,200,3,10.0
194,200,4,10.0
195,200,5,9.98
196,200,6,9.98
197,200,7,10.0
198,200,8,9.99
199,200,9,10.0
200,210,0,10.0
201,210,1,10.0
202,210,2,10.0
203,210,3,10.0
204,210,4,10.0
205,210,5,10.0
206,210,6,10.0
