,Round,Client,TestAcc
0,1,0,9.88
1,1,1,10.18
2,1,2,10.08
3,1,3,9.23
4,1,4,9.98
5,1,5,9.75
6,1,6,10.52
7,1,7,9.69
8,1,8,8.78
9,1,9,10.02
10,2,0,8.99
11,2,1,9.93
12,2,2,10.21
13,2,3,10.98
14,2,4,9.15
15,2,5,9.62
16,2,6,10.91
17,2,7,9.49
18,2,8,10.32
19,2,9,9.88
20,3,0,10.92
21,3,1,10.0
22,3,2,10.18
23,3,3,10.08
24,3,4,9.63
25,3,5,10.32
26,3,6,10.21
27,3,7,9.93
28,3,8,10.76
29,3,9,10.73
30,4,0,9.52
31,4,1,11.55
32,4,2,9.85
33,4,3,10.07
34,4,4,10.08
35,4,5,10.15
36,4,6,10.52
37,4,7,9.41
38,4,8,10.55
39,4,9,13.65
40,5,0,10.28
41,5,1,9.77
42,5,2,10.05
43,5,3,9.75
44,5,4,10.02
45,5,5,10.0
46,5,6,9.94
47,5,7,10.24
48,5,8,10.15
49,5,9,10.47
50,6,0,10.46
51,6,1,9.72
52,6,2,10.36
53,6,3,10.01
54,6,4,10.36
55,6,5,10.77
56,6,6,10.04
57,6,7,10.04
58,6,8,10.34
59,6,9,9.87
60,7,0,11.03
61,7,1,10.09
62,7,2,10.25
63,7,3,10.0
64,7,4,10.34
65,7,5,9.94
66,7,6,10.3
67,7,7,11.72
68,7,8,11.69
69,7,9,10.07
70,8,0,10.19
71,8,1,10.0
72,8,2,10.04
73,8,3,9.95
74,8,4,9.97
75,8,5,10.06
76,8,6,10.0
77,8,7,11.65
78,8,8,9.9
79,8,9,10.58
80,9,0,10.83
81,9,1,11.11
82,9,2,10.68
83,9,3,11.68
84,9,4,10.21
85,9,5,10.46
86,9,6,13.38
87,9,7,12.21
88,9,8,10.01
89,9,9,10.28
90,10,0,12.31
91,10,1,11.35
92,10,2,9.81
93,10,3,10.26
94,10,4,11.33
95,10,5,11.75
96,10,6,10.19
97,10,7,11.97
98,10,8,10.55
99,10,9,11.32
100,11,0,14.31
101,11,1,14.14
102,11,2,11.81
103,11,3,13.03
104,11,4,12.21
105,11,5,10.75
106,11,6,11.7
107,11,7,11.67
108,11,8,10.01
109,11,9,13.53
110,12,0,11.95
111,12,1,13.99
112,12,2,10.76
113,12,3,14.24
114,12,4,16.65
115,12,5,14.22
116,12,6,12.52
117,12,7,15.84
118,12,8,12.07
119,12,9,13.57
120,13,0,14.58
121,13,1,13.52
122,13,2,13.95
123,13,3,12.56
124,13,4,15.41
125,13,5,10.81
126,13,6,11.71
127,13,7,9.92
128,13,8,14.79
129,13,9,13.08
130,14,0,13.28
131,14,1,14.22
132,14,2,11.66
133,14,3,15.23
134,14,4,12.44
135,14,5,15.76
136,14,6,13.86
137,14,7,15.58
138,14,8,13.9
139,14,9,10.28
140,15,0,16.74
141,15,1,18.05
142,15,2,15.67
143,15,3,15.95
144,15,4,16.93
145,15,5,11.94
146,15,6,15.68
147,15,7,15.61
148,15,8,18.47
149,15,9,11.73
150,16,0,14.11
151,16,1,13.11
152,16,2,16.59
153,16,3,14.11
154,16,4,17.17
155,16,5,16.95
156,16,6,16.61
157,16,7,15.91
158,16,8,14.92
159,16,9,16.02
160,17,0,18.05
161,17,1,16.38
162,17,2,19.03
163,17,3,17.71
164,17,4,16.27
165,17,5,15.34
166,17,6,16.7
167,17,7,15.22
168,17,8,15.65
169,17,9,11.32
170,18,0,20.09
171,18,1,19.68
172,18,2,13.23
173,18,3,18.43
174,18,4,11.56
175,18,5,16.16
176,18,6,15.62
177,18,7,19.89
178,18,8,18.86
179,18,9,18.73
180,19,0,19.64
181,19,1,18.72
182,19,2,11.51
183,19,3,18.07
184,19,4,12.61
185,19,5,18.58
186,19,6,17.28
187,19,7,19.97
188,19,8,13.38
189,19,9,17.36
190,20,0,18.82
191,20,1,17.13
192,20,2,17.32
193,20,3,15.42
194,20,4,20.92
195,20,5,21.94
196,20,6,15.07
197,20,7,19.4
198,20,8,15.25
199,20,9,15.21
200,21,0,21.48
201,21,1,19.0
202,21,2,19.64
203,21,3,17.93
204,21,4,15.16
205,21,5,22.57
206,21,6,19.68
207,21,7,20.14
208,21,8,18.37
209,21,9,20.44
210,22,0,20.88
211,22,1,16.85
212,22,2,19.22
213,22,3,14.96
214,22,4,23.61
215,22,5,15.23
216,22,6,17.05
217,22,7,18.63
218,22,8,20.75
219,22,9,16.95
220,23,0,17.79
221,23,1,19.75
222,23,2,16.86
223,23,3,20.91
224,23,4,21.25
225,23,5,12.17
226,23,6,19.31
227,23,7,17.14
228,23,8,17.52
229,23,9,23.77
230,24,0,19.33
231,24,1,16.16
232,24,2,22.63
233,24,3,21.94
234,24,4,20.09
235,24,5,20.31
236,24,6,23.13
237,24,7,20.14
238,24,8,19.57
239,24,9,20.59
240,25,0,19.91
241,25,1,22.18
242,25,2,21.25
243,25,3,18.58
244,25,4,17.14
245,25,5,23.38
246,25,6,20.88
247,25,7,21.75
248,25,8,19.96
249,25,9,22.43
250,26,0,22.72
251,26,1,19.01
252,26,2,22.67
253,26,3,23.54
254,26,4,21.97
255,26,5,16.79
256,26,6,17.88
257,26,7,19.92
258,26,8,20.58
259,26,9,23.45
260,27,0,22.86
261,27,1,20.36
262,27,2,23.77
263,27,3,16.83
264,27,4,21.72
265,27,5,22.69
266,27,6,20.46
267,27,7,22.62
268,27,8,17.1
269,27,9,20.22
270,28,0,21.85
271,28,1,21.25
272,28,2,19.53
273,28,3,24.2
274,28,4,21.11
275,28,5,22.15
276,28,6,21.65
277,28,7,24.9
278,28,8,22.9
279,28,9,24.89
280,29,0,23.11
281,29,1,18.48
282,29,2,24.89
283,29,3,18.72
284,29,4,24.73
285,29,5,21.58
286,29,6,23.7
287,29,7,20.08
288,29,8,17.2
289,29,9,19.07
290,30,0,22.67
291,30,1,16.54
292,30,2,21.77
293,30,3,24.63
294,30,4,20.57
295,30,5,20.52
296,30,6,19.69
297,30,7,19.4
298,30,8,19.56
299,30,9,21.0
300,31,0,23.87
301,31,1,24.13
302,31,2,17.66
303,31,3,18.23
304,31,4,22.93
305,31,5,17.03
306,31,6,21.04
307,31,7,24.13
308,31,8,15.9
309,31,9,26.66
310,32,0,26.59
311,32,1,18.19
312,32,2,24.21
313,32,3,22.78
314,32,4,20.71
315,32,5,18.15
316,32,6,23.22
317,32,7,23.19
318,32,8,17.93
319,32,9,22.46
320,33,0,25.81
321,33,1,19.7
322,33,2,22.59
323,33,3,24.21
324,33,4,23.15
325,33,5,20.08
326,33,6,24.14
327,33,7,22.91
328,33,8,22.15
329,33,9,23.49
330,34,0,23.37
331,34,1,20.66
332,34,2,23.5
333,34,3,24.84
334,34,4,24.84
335,34,5,19.71
336,34,6,18.31
337,34,7,22.62
338,34,8,18.15
339,34,9,21.09
340,35,0,23.3
341,35,1,21.54
342,35,2,25.37
343,35,3,23.03
344,35,4,24.91
345,35,5,24.0
346,35,6,21.35
347,35,7,20.91
348,35,8,25.93
349,35,9,22.35
350,36,0,25.04
351,36,1,20.14
352,36,2,24.78
353,36,3,21.48
354,36,4,25.39
355,36,5,14.31
356,36,6,26.8
357,36,7,27.47
358,36,8,25.38
359,36,9,21.24
360,37,0,20.24
361,37,1,23.77
362,37,2,19.55
363,37,3,24.02
364,37,4,22.82
365,37,5,17.17
366,37,6,21.27
367,37,7,19.54
368,37,8,18.96
369,37,9,23.22
370,38,0,24.83
371,38,1,21.3
372,38,2,21.52
